425.77,153.73,-5.6032,2.6549,126,49.824
427.96,156.17,6.7811,3.933,127,32.756
430.23,158.26,5.7958,3.6967,128,30.827
426.06,156.23,-5.6247,1.5713,129,46.318
434.48,161.32,14.13,-13.38,144,98.345
428.52,161.4,0.21571,6.5553,145,59.604
426.13,164.22,7.8378,-3.3537,146,36.995
434.06,169.68,15.184,-12.037,147,96.342
429.52,170.57,2.4613,2.617,148,46.278
425.4,171.16,1.6405,1.4314,149,41.575
432.93,175.1,10.937,-10.906,150,84.938
429.29,175.35,0.71219,0.11527,151,36.505
425.32,175.57,0.61019,1.016,152,39.718
432.26,179.36,10.511,-9.2721,153,79.028
428.34,180.11,2.0917,0.89056,154,39.923
431.23,181.94,5.0814,1.9823,155,34.172
426.88,182.56,1.7263,2.0781,156,43.923
434.86,186.41,10.693,-12.162,168,88.585
432.84,185.53,-2.4379,-4.4156,169,21.936
430.67,184.5,-2.8706,-3.9447,170,24.124
428.56,183.47,-2.8732,-4.1495,171,23.465
