13,23
15,24
16,25
17,25
18,26
19,27
19,29
20,31
25,40
27,43
31,46
30,48
27,51
24,54
24,57
30,59
35,60
39,63
41,64
43,64
44,64
45,64
45,63
46,64
42,64
41,64
42,64
42,65
42,66
42,66
46,64
45,63
46,62
48,62
49,62
50,62
43,61
39,63
35,63
35,62
34,63
35,61
32,64
29,64
26,65
21,65
19,67
17,68
17,66
17,68
17,67
17,67
17,67
17,67
20,71
21,74
20,73
20,74
21,75
22,76
16,79
14,82
11,86
8,89
7,89
6,89
7,93
12,91
12,97
14,100
15,102
14,104
18,105
20,107
18,107
17,109
17,110
17,110
20,112
18,116
11,120
6,123
4,118
-2,123
-7,124
-13,133
-6,126
-7,131
-6,132
-5,132
-4,133
-3,132
-3,135
2,135
4,141
1,148
-7,141
-13,151
-15,154
-16,157
-18,160
-21,165
